Time (s),H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.141441023587072e-14,0.04999999991122729,8.872337678403835e-11,1.8145667380896567e-14,0.09999999991117467,7.16115384034765e-15,4.423742505155548e-24,8.881840070873657e-11,6.004146024959375e-17,2.5140448935245104e-43,1.832912645014987e-45,0.0,3.7800942801480084e-39,0.0,0.0,4.285144797908837e-15,0.8500000000000266,1.3736727047130704e-22,3.250381375441011e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.394509396060139e-56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.131528188696576e-14,0.04999999928989906,7.07963437019139e-10,2.370051502968152e-13,0.09999999928782341,2.3574858500229853e-13,4.8402804554225015e-17,7.121923834120687e-10,1.985420021481604e-15,5.832524427743672e-40,1.2914986400291394e-40,3.91085417265536e-39,1.5950529573879463e-36,2.2257676536561826e-39,1.578323342396648e-44,1.2086334207068302e-13,0.8500000000015259,4.515430120023267e-21,2.187966925233485e-26,4.39936944011454e-37,7.724132168191966e-39,2.643226970845818e-42,9.4116289466583e-53,2.8073374383001646e-56,6.848562609466445e-60,9.612377560595831e-65,5.4787824665218326e-76,3.111782200962793e-81,1.0267859459443401e-50,6.044638739531315e-48,3.015364682385073e-63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.897062853531437e-110,5.295662720355447e-116,5.973938446551347e-59,6.042888215211933e-65
7.76179896039209e-13,0.049999993970552936,5.872113692430299e-09,9.339208630792734e-12,0.09999999382082446,1.624295283256323e-11,2.7257162559212845e-14,6.18499619839949e-09,1.4115870485715723e-13,2.638069687571767e-36,6.374474165982539e-37,1.5569305228323508e-35,7.816599928996788e-34,8.853089998817465e-36,5.5726114395342125e-40,7.941976815659801e-12,0.85000000011782,3.079368596215955e-19,1.1763569451803707e-23,2.263797914474896e-33,9.810732927080434e-35,1.5845964104662272e-37,3.377320132603383e-48,1.1891930813604869e-50,1.936596559230574e-54,4.040607396899858e-58,1.868693915162531e-68,5.775317759435715e-73,2.847728676562443e-45,2.141927999289388e-43,7.356825146917305e-57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4945646123082655e-98,2.486354018512605e-103,3.030844371289053e-53,3.0674413844527893e-58
2.9167201786398845e-12,0.04999997741164748,2.0463874637435296e-08,1.1541873006804767e-10,0.0999999753953792,2.1744849566040223e-10,1.3880392898640798e-12,2.4688906735913163e-08,2.0766141575977237e-12,4.835082542997687e-34,1.283076693770599e-34,2.6066719300308318e-33,3.1967510872300327e-32,1.4949169501820436e-33,3.948592715534988e-37,1.0607209431143214e-10,0.8500000015977879,4.0120595373243276e-18,5.9217055217292985e-22,6.955861234440032e-31,6.30505426333346e-32,2.735064964439178e-34,2.6441003079833644e-45,3.690535328963535e-47,7.026859439351983e-51,5.128245482146862e-54,3.165339014441123e-63,1.9968548185021262e-67,9.795171700215533e-42,1.507664556636675e-40,1.0889315680426852e-52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.455265783690709e-91,1.2775954391076632e-95,2.658388400721485e-49,1.053084859449615e-53
5.785098295464776e-12,0.0499999553534301,3.6812819397824137e-08,4.168688195980819e-10,0.09999994792974856,7.984497030275698e-10,1.0280642041622276e-11,5.238370524774577e-08,8.574049027003135e-12,6.382988511561225e-33,1.8583136685650747e-33,3.1620033917086087e-32,1.847306673374197e-31,1.8347537011010017e-32,9.661278945853275e-36,3.9056700352554004e-10,0.8500000058955565,1.4356465593554275e-17,4.353632354425104e-21,1.4035819397543172e-29,1.5803131792661776e-30,1.252043404816852e-32,6.811386942723195e-44,1.9237598909103955e-45,3.512093053222504e-49,5.707999047090779e-52,1.112849461602481e-60,1.5329779433845657e-64,4.633559062594465e-40,3.654232121380394e-39,9.199068337030296e-51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.248662241861908e-87,2.2540415108458155e-91,2.105649801441127e-47,2.106299451296031e-51
9.608383869837247e-12,0.0499999261220367,5.4002732027776994e-08,1.04396605242519e-09,0.09999990731950312,2.016310093644837e-09,4.4056014021605267e-11,9.347541410015604e-08,2.4973753387447102e-11,3.939993673593143e-32,1.2729781953175557e-32,1.7940435019124816e-31,6.030262872372871e-31,1.0592668768483112e-31,9.624844243264212e-35,9.90935742105641e-10,0.8500000149600723,3.5563163907195193e-17,1.8561534475117125e-20,1.308809116154046e-28,1.619258403502377e-29,2.120197679436409e-31,7.07344489173857e-43,3.435859512506913e-44,6.328187904110909e-48,1.7655332777648362e-50,8.565221238975155e-59,1.8774103907877865e-62,7.615344137518965e-39,3.591371365587212e-38,2.3582918846154614e-49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.186813516313349e-85,1.3363153318134216e-88,5.430570919444792e-46,9.36249197386234e-50
1.5343312231395955e-11,0.04999988249333773,7.248608798563815e-08,2.332270217546527e-09,0.0999998400104889,4.536051382940193e-09,1.6306084344561448e-10,1.61779813984845e-07,6.797273524168685e-11,1.9045372006333393e-31,6.98368284213072e-32,8.033401703878235e-31,1.6116195211484548e-30,4.878174523631191e-31,7.381076241157137e-34,2.246541577698755e-09,0.8500000338843744,7.956477515410645e-17,6.860976204259542e-20,9.924748784791882e-28,1.2669648504542946e-28,2.6977670855298035e-30,5.634830637674208e-42,4.50997382316404e-43,8.479719800152868e-47,3.827430685781636e-49,3.92325691906889e-57,1.3949446591233672e-60,8.852353382397184e-38,2.6967641699130802e-37,3.9972961469064825e-48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.719324504130348e-83,3.966062175438734e-86,9.738863533113702e-45,2.7388964563532946e-48
2.036905443080102e-11,0.04999984435251407,8.363682804525368e-08,3.690635288754474e-09,0.09999977655461025,7.211137424323279e-09,3.524544539063121e-10,2.2628986352384094e-07,1.2533026492564886e-10,4.636139549427049e-31,1.8615369595012688e-31,1.8853889701625848e-30,2.7807684644584446e-30,1.1749768047550791e-30,2.429311447533006e-33,3.5969817802763526e-09,0.8500000541896446,1.2771180043645761e-16,1.4873819454653299e-19,3.28427066110231e-27,4.1563684151803255e-28,1.2071321256995871e-29,1.8840804990640016e-41,2.0515217226037242e-42,3.9495274413269676e-46,2.3952006043562787e-48,3.825951214605503e-56,1.830493928614494e-59,3.6219729127665787e-37,8.709269720712336e-37,2.0516134350472072e-47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6879917841474973e-81,1.166991989578039e-84,5.358774614877944e-44,2.041065394068828e-47
2.6011208476113575e-11,0.04999980153151068,9.240299226367142e-08,5.372964422900949e-09,0.09999970193010531,1.0546731066229318e-08,6.746069960184125e-10,3.022243984065796e-07,2.1292523252401049e-10,9.536065060104704e-31,4.176019026058752e-31,3.821447192892471e-30,4.260203485284732e-30,2.4526229518856206e-30,6.607549530316387e-33,5.3047447497987295e-09,0.8500000797990206,1.904458142885223e-16,2.864516064697517e-19,9.006548542256858e-27,1.1108009228863981e-27,4.259517230151547e-29,5.155709696501682e-41,7.348497886582342e-42,1.4577450547473934e-45,1.1391148976157332e-47,2.599523781261478e-55,1.6013317795463148e-58,1.1577511964372801e-36,2.3178370671576855e-36,7.999345524938489e-47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.13628711730478e-80,1.9460101670237723e-83,2.2776647325254238e-43,1.121978303209289e-46
3.106731774230103e-11,0.04999976309591385,9.796835120155196e-08,6.965449625972311e-09,0.09999963293687984,1.372606054290644e-08,1.0698894909514173e-09,3.7246126148517296e-07,3.1301737420414147e-10,1.563509776242173e-30,7.324876218783633e-31,6.2166192837456466e-30,5.856113899567026e-30,4.102580298844162e-30,1.3496097675682536e-32,6.957087005178489e-09,0.8500001045060892,2.531131606685547e-16,4.575476677980411e-19,1.8451120801646437e-26,2.2077782984836088e-27,1.042320627279779e-28,1.0470698986800567e-40,1.819109435736612e-41,3.712230698437334e-45,3.486374774151956e-47,1.0200666496140028e-54,7.588498818132296e-58,2.6040078497464406e-36,4.643304423948858e-36,2.081977089576127e-46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3481458821707203e-79,1.490421456775706e-82,6.430392479528379e-43,3.817425965593342e-46
3.865148164158222e-11,0.049999705252446236,1.0370883244641801e-07,9.429423654475826e-09,0.09999952692949966,1.868679110287065e-08,1.8617307117464483e-09,4.803983448179094e-07,5.023994075804468e-10,2.7744839841204557e-30,1.4192275078820168e-30,1.1096951589669443e-29,8.401573863066424e-30,7.633994711760201e-30,3.191961132457001e-32,9.584190065473509e-09,0.8500001436463415,3.56343612788253e-16,8.059742953542921e-19,4.37222458555431e-26,4.969165259052508e-27,3.050284864750111e-28,2.429592639210868e-40,5.401302894707725e-41,1.1508900150116308e-44,1.3562285442051887e-46,5.322174358878494e-54,4.9935171398232136e-57,6.775126133292346e-36,1.0663934935743714e-35,6.51566988016397e-46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.244055272299919e-78,1.7266967363470163e-81,2.2779848190615147e-42,1.69801661660811e-45
