Time (s),H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.141441023587072e-14,-53131814.289971024,53101235.74319628,10858.281663131083,-53164362.93359488,4282.260302489075,0.3154142532170142,53158038.02279256,35.96137005612426,7.940357180556223e-25,1.5384812083863952e-25,2.771222453867332e-24,1.1937590808621317e-20,1.5572012467464722e-24,0.0,2562.958433255216,-2562.958515354573,8.209920237325856e-05,1.550907320098647e-10,1.917503990993332e-22,2.6935495540610694e-24,5.015801017846549e-47,4.201857788085951e-38,1.1268326722869494e-52,1.7339172744579649e-46,0.0,0.0,0.0,9.003162446606322e-37,3.1293923587040722e-43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.131528188696576e-14,-53132082.59915571,52795868.13840069,26236.753783682387,-53455497.79126927,34165.59875980976,10.383670677943893,53433533.994662374,288.3492466234187,1.7849547848982797e-22,4.035372962524396e-23,1.1556592238267066e-21,3.3221581702172503e-19,6.571334078675713e-22,6.392632955532962e-27,17061.840839695302,-17061.841493626565,0.0006539266502906857,4.6186125082509095e-09,1.3308345177592344e-19,2.5582046203459957e-21,1.1199502584192812e-24,3.8925420110905107e-35,1.8104676320728144e-38,3.8362102147511285e-42,8.665347515685124e-47,6.32635750883385e-58,4.083868465114434e-63,5.717315166243989e-33,2.4539540848737056e-30,2.289902770976694e-45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.45460885830337e-91,2.708324311746618e-97,3.461951610023291e-41,5.35296171588338e-47
7.76179896039209e-13,-53135318.15437243,50250857.546637334,154219.0571500285,-55882811.65671944,283024.7235268073,715.4308110448845,55730316.164052136,2503.503785181419,9.643766568039465e-20,2.3693816938795267e-20,5.663208306998956e-19,1.9790450664600552e-17,3.222688235213472e-19,2.542769197718593e-23,137975.2283878099,-137975.2337236498,0.005335532121045532,3.077709430991271e-07,8.960144081282351e-17,4.698179569731119e-18,7.846710189595721e-21,1.7343951494744034e-31,6.498160063569432e-34,1.4055281214614156e-37,2.604697158690091e-41,2.887485949594866e-51,7.874005967234188e-56,2.04702743830564e-28,9.769366657994972e-27,6.730311255847435e-40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.448073029681951e-81,4.08851526862157e-86,2.3431536496705082e-36,2.7157942562226395e-41
2.9167201786398845e-12,-53155497.652404405,43077434.31534075,512902.3532926213,-62734700.612450294,982292.2258075268,9577.695649440662,62212142.378317736,9985.488106662146,4.354087204003442e-18,1.1856602237944012e-18,2.2984220799493605e-17,1.9951623821045037e-16,1.3217515142595711e-17,4.2940134227234604e-21,479626.7648713129,-479626.78269780526,0.017822420090587515,4.07225696512076e-06,7.072728590704327e-15,6.954290418930693e-16,3.58590157521511e-18,2.948892162119231e-29,5.089766697398804e-31,9.182534350804966e-35,9.197201033059397e-38,6.8432247197052e-47,5.958156350925803e-51,1.2705023531174384e-25,1.6357696490349979e-24,1.6509290762809922e-36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5970583722979778e-74,1.7641566992442747e-78,3.9502311667915176e-33,2.382051458333614e-37
5.785098295464776e-12,-53203258.878892444,35080641.89797976,908094.6220115,-70396368.19283436,1756851.9108326056,35168.57988146117,69456355.87095252,21165.44367006229,2.769246958288757e-17,8.442676868173014e-18,1.3133698429321776e-16,5.334046728239782e-16,7.675963432424802e-17,5.2706304027411064e-20,862421.3253997954,-862421.3563019184,0.03088728689182201,1.4836088171685297e-05,7.316779448132373e-14,8.699260551949312e-15,8.335695746229339e-17,3.7734735443421104e-28,1.311861397295957e-29,2.4053869142394145e-33,4.626952117655409e-36,1.185343602433907e-44,1.7948030777108972e-48,3.093860922901062e-24,1.98478902112071e-23,7.198323495069981e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1839584668121797e-71,3.4206030882090184e-75,1.637956453847706e-31,1.886765543648619e-35
9.608383869837247e-12,-53296389.825443156,26741768.77758146,1312260.9757721873,-78425749.66803136,2556002.6627208977,88811.28113277198,77041945.80300817,37719.900456210446,9.766187214262745e-17,3.3714320611065834e-17,4.22126612062449e-16,9.520140634319158e-16,2.526714240817938e-16,3.0432015975018274e-19,1264906.9461314734,-1264906.9904919385,0.044323150840061366,3.731411402636166e-05,4.071666692490912e-13,5.1818153557876195e-14,8.29292223013249e-16,2.2777041079016225e-27,1.3630271777982115e-28,2.5241135571683607e-32,8.322697775769259e-35,5.054719855117694e-43,1.2833962514999653e-46,2.9144572076292495e-23,1.1268100058990836e-22,1.037799259682109e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.905260593540911e-69,1.421312734955046e-72,2.412670329737414e-30,4.866045450221795e-34
1.5343312231395955e-11,-53482032.722308844,17914036.39495016,1724359.5688397617,-87006116.03789072,3384787.002261145,199799.38092838085,85135321.6519244,65160.78681433834,2.742313014671307e-16,1.0993318908709502e-16,1.1014910364602447e-15,1.4358176621841233e-15,6.858378071449552e-16,1.4016076873050284e-18,1697678.6938129258,-1697678.7537252924,0.05982817431094347,8.419220584067173e-05,1.88676091355892e-12,2.4127197599516555e-13,6.428090895160895e-15,1.0864368036377784e-26,1.0863859680025225e-27,2.0672124869423144e-31,1.1112747176359396e-33,1.4228948444132758e-41,5.694937698733834e-45,2.0029221170921586e-22,5.052569158844598e-22,1.0460165564898468e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9104915836783114e-67,2.119346798145182e-70,2.633710418813613e-29,8.726443526923318e-33
2.036905443080102e-11,-53675565.04100043,12721220.045979688,1951696.9989977214,-92131140.84672214,3855579.4084520205,317632.3259677347,89957072.11110708,90996.89676691618,4.72804611952137e-16,2.1102241311573223e-16,1.861543473029154e-15,1.717196186033235e-15,1.2019295195711248e-15,3.376175908176017e-18,1958764.984863276,-1958765.0557211456,0.07072294478901779,0.0001349249577397805,4.597650156361467e-12,5.721203582101652e-13,2.1142305957396627e-14,2.645551735274082e-26,3.633645532472626e-27,7.1313194275500934e-31,5.155966132169998e-33,1.0148023544560929e-40,5.491362168516878e-44,5.9032261676210345e-22,1.1876532970968264e-21,3.897854121482377e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.911871976695312e-66,4.636621392842061e-69,1.071502705479335e-28,4.8016775964520823e-32
2.6011208476113575e-11,-53914657.40693933,8781338.729748122,2107923.638085188,-96104561.93690248,4194418.806022478,464562.5381540691,93681806.57320832,121312.77368152069,7.14861688489517e-16,3.5349752594986823e-16,2.781482138556939e-15,2.0918552999375763e-15,1.878137390902153e-15,7.047705220587912e-18,2164019.721207717,-2164019.8022364583,0.08082895551041307,0.00019978599406034973,9.641004559089067e-12,1.14752581742118e-12,5.694330031223218e-14,5.477728824468133e-26,9.946090775741461e-27,2.0279471050089386e-30,1.8940821105789702e-32,5.2960725107501184e-40,3.708854081096025e-43,1.4123976069277238e-21,2.4121224087522967e-21,1.1461039594180662e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8924097194954496e-65,5.872938155309037e-68,3.510247927878237e-28,2.0408713573320634e-31
3.106731774230103e-11,-54141287.1856304,6403355.908241026,2187907.6061668834,-98578569.8134219,4382509.911387304,604612.480160098,95988956.95526627,149263.27360210157,9.328190420576824e-16,4.999020638306693e-16,3.754318556871363e-15,1.979070466610108e-15,2.6251066804907452e-15,1.1789290450779964e-17,2294330.7400286878,-2294330.828607217,0.0883152364887938,0.00026329280505294584,1.622312822810875e-11,1.844595161300077e-12,1.142334846024157e-13,9.04879404251067e-26,2.0203014147914132e-26,4.266743556004369e-30,4.8025964518694125e-32,1.7133161922245712e-39,1.450910769777656e-42,2.5651561276751185e-21,3.9319925990148414e-21,2.4343245104602284e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0287440290845276e-64,3.707377697948164e-67,8.23181616966129e-28,5.761848176486389e-31
3.865148164158222e-11,-54493476.61644683,4147089.2317907917,2240337.349656332,-101052125.80433638,4533556.286838209,823139.310175989,98275934.01832682,192047.4888045616,1.2450637301579231e-15,7.406944794214615e-16,5.233789072391925e-15,1.818330070877495e-15,3.867642351386412e-15,2.1937989122988754e-17,2428744.254649471,-2428744.3522605784,0.09724547387967669,0.00036563363947636203,3.014474946449324e-11,3.1862842113289918e-12,2.613196925756413e-13,1.620862113734142e-25,4.688881606137201e-26,1.0438098565455574e-29,1.4794868754094459e-31,7.043337007991852e-39,7.550683521004816e-42,5.1205234551783736e-21,7.042033362009603e-21,5.918602494565973e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2071995597881428e-63,3.4225528232734966e-66,2.3219356250564537e-27,2.041140506498829e-30
4.7950371118578196e-11,-54933800.09554645,2648589.848814864,2240542.4994391287,-102884673.1904955,4592546.833049667,1097258.084098161,99941400.61500522,245273.30981096253,1.596058479214064e-15,1.058261163888296e-15,1.5180973475265225e-14,-3.1363409725186744e-14,1.0067890112101803e-14,3.569148826670048e-17,2534348.7793229283,-2534348.885228363,0.10540600058876,0.0004994340449833503,5.441809586725606e-11,5.2545264309103365e-12,5.733334288625756e-13,2.7669557248293947e-25,1.038983521015672e-25,2.4631476802825063e-29,4.389942031566908e-31,2.749920563958946e-38,3.724851746481826e-41,9.70474410117369e-21,1.0542387723785061e-20,1.4033503406932155e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.361393303682744e-62,3.070732959108876e-65,6.464775686806814e-27,7.01938844135375e-30
5.472120596248044e-11,-55255254.32146293,2047255.6911543142,2216850.863500518,-103752998.02783993,4587218.655828172,1297770.9362311608,100711935.72937648,284278.29141528293,1.831729719787697e-15,1.3007053318851064e-15,-2.4718279912302386e-15,4.4436647099944457e-14,1.0872659786393652e-15,6.515772667086264e-17,2588272.330790567,-2588272.4414634835,0.11007185985654508,0.0006010565637334729,7.743024265640291e-11,7.012471599289669e-12,9.144382819851777e-13,3.76171213330404e-25,1.663188509910503e-25,4.115017968849849e-29,8.445326741571964e-31,6.247821784028787e-38,9.767411580762042e-41,1.4074819610993844e-20,2.0114398318813005e-20,2.1940483673456218e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.514788859571202e-62,1.0399292465466274e-64,1.1755957689209389e-26,1.501198644662962e-29
