Substance,Mole Fraction (Xi)
H2,0.5610823253165087 %
H,2.2294627362863133e-08 %
O,5.871247417099913e-08 %
O2,7.949169796758854 %
OH,1.583028205003201e-06 %
H2O,4.549023394744792 %
HO2,0.000680534825727591 %
H2O2,0.0034692695564197676 %
C,-1.814609573770383e-29 %
CH,2.930436938468113e-33 %
CH2,2.1029765275618996e-25 %
CH2(S),1.5316249756134004e-26 %
CH3,4.926067233573081e-19 %
CH4,1.7404539541358173e-15 %
CO,2.0098944370090874e-14 %
CO2,8.155843958622428e-14 %
HCO,1.3930023465072378e-22 %
CH2O,3.766177041808456e-16 %
CH2OH,6.1883766405141405e-24 %
CH3O,2.8295360793779093e-21 %
CH3OH,7.673148659221106e-17 %
C2H,-8.49534249083835e-21 %
C2H2,8.400677956174795e-22 %
C2H3,-7.216330463624466e-22 %
C2H4,-4.4081845981605104e-21 %
C2H5,-1.9729106600405408e-23 %
C2H6,-1.145487052655828e-21 %
HCCO,5.575885565723987e-25 %
CH2CO,2.243001603564091e-18 %
HCCOH,-1.0705498994677777e-25 %
N,-1.6669808941180356e-38 %
NH,-1.1430810002098583e-35 %
NH2,-2.700150845462661e-37 %
NH3,-4.508090797662417e-33 %
NNH,-1.0072555480144666e-39 %
NO,2.898641882666332e-35 %
NO2,1.488234918580586e-32 %
N2O,4.893035486642312e-33 %
HNO,-2.69828048468838e-36 %
CN,-1.6612435168569513e-40 %
HCN,-2.031213741533389e-33 %
H2CN,-3.1362356040982066e-40 %
HCNN,-5.247455594635935e-41 %
HCNO,-8.722289512810271e-34 %
HOCN,-2.2076420204611117e-33 %
HNCO,-7.828423963476264e-33 %
NCO,-2.4560451239433033e-37 %
N2,-2.2881618870257222e-33 %
AR,86.9365730147623 %
C3H7,-2.366121873171101e-30 %
C3H8,-6.878278067559672e-28 %
CH2CHO,2.5081742085281304e-22 %
CH3CHO,8.499489651161243e-16 %
