Substance,Net Production Rate (wi)
H2,-174.10951474609578 mol/m^3/s
H,0.8649818085695894 mol/m^3/s
O,-4.996776603674431e-05 mol/m^3/s
O2,-86.25601482491952 mol/m^3/s
OH,0.5268613535829497 mol/m^3/s
H2O,173.96482427555287 mol/m^3/s
HO2,-0.8771437904766548 mol/m^3/s
H2O2,-0.11265921529120036 mol/m^3/s
C,1.636841641400344e-30 mol/m^3/s
CH,-2.0059306022766262e-24 mol/m^3/s
CH2,1.2009047179628193e-18 mol/m^3/s
CH2(S),2.513981315617527e-17 mol/m^3/s
CH3,-2.2935786719766925e-15 mol/m^3/s
CH4,6.639829355748419e-14 mol/m^3/s
CO,7.655665395913782e-13 mol/m^3/s
CO2,3.1190430186799945e-12 mol/m^3/s
HCO,2.647554662148821e-16 mol/m^3/s
CH2O,1.4868476511014196e-14 mol/m^3/s
CH2OH,2.57556503232214e-17 mol/m^3/s
CH3O,-7.588453431430034e-16 mol/m^3/s
CH3OH,2.8149007284106093e-15 mol/m^3/s
C2H,5.6834549754527025e-21 mol/m^3/s
C2H2,-8.654547723038506e-20 mol/m^3/s
C2H3,2.0013694832481362e-20 mol/m^3/s
C2H4,5.174298490520114e-23 mol/m^3/s
C2H5,2.6191589956025434e-28 mol/m^3/s
C2H6,4.750259425554921e-28 mol/m^3/s
HCCO,3.229840139618418e-17 mol/m^3/s
CH2CO,9.131273130741736e-17 mol/m^3/s
HCCOH,8.797205404424232e-22 mol/m^3/s
N,2.3923740488299734e-42 mol/m^3/s
NH,3.220725103536526e-36 mol/m^3/s
NH2,0.0 mol/m^3/s
NH3,0.0 mol/m^3/s
NNH,0.0 mol/m^3/s
NO,-2.5480854134845683e-31 mol/m^3/s
NO2,2.4904523877988253e-31 mol/m^3/s
N2O,-3.1331837907326226e-33 mol/m^3/s
HNO,5.788231416931874e-33 mol/m^3/s
CN,0.0 mol/m^3/s
HCN,1.0624645319844803e-49 mol/m^3/s
H2CN,3.784208782595238e-50 mol/m^3/s
HCNN,0.0 mol/m^3/s
HCNO,2.4004850333960946e-50 mol/m^3/s
HOCN,0.0 mol/m^3/s
HNCO,1.1641621134744496e-50 mol/m^3/s
NCO,8.813446132044909e-50 mol/m^3/s
N2,3.119109002805795e-33 mol/m^3/s
AR,0.0 mol/m^3/s
C3H7,0.0 mol/m^3/s
C3H8,0.0 mol/m^3/s
CH2CHO,-1.0649965737894962e-17 mol/m^3/s
CH3CHO,-1.9830907296928866e-12 mol/m^3/s
