Reaction,Rate of Progress (ropi)
2 O + M <=> O2 + M,-0.1180110778049824 mol/m^3/s
H + O + M <=> OH + M,-0.00352320790944949 mol/m^3/s
H2 + O <=> H + OH,6.111250389070733 mol/m^3/s
HO2 + O <=> O2 + OH,1.169052355549871 mol/m^3/s
H2O2 + O <=> HO2 + OH,-0.006222667028599194 mol/m^3/s
CH + O <=> CO + H,4.770637867474941e-19 mol/m^3/s
CH2 + O <=> H + HCO,5.663827517822595e-16 mol/m^3/s
CH2(S) + O <=> CO + H2,1.1988506522309998e-17 mol/m^3/s
CH2(S) + O <=> H + HCO,1.198850652227388e-17 mol/m^3/s
CH3 + O <=> CH2O + H,7.745356261983385e-14 mol/m^3/s
CH4 + O <=> CH3 + OH,8.560443487135773e-19 mol/m^3/s
CO + O (+M) <=> CO2 (+M),1.96132424821011e-15 mol/m^3/s
HCO + O <=> CO + OH,1.289628441085516e-16 mol/m^3/s
HCO + O <=> CO2 + H,1.29067565304988e-16 mol/m^3/s
CH2O + O <=> HCO + OH,1.8719526004658907e-14 mol/m^3/s
CH2OH + O <=> CH2O + OH,1.793099746567936e-17 mol/m^3/s
CH3O + O <=> CH2O + OH,2.036958793471214e-17 mol/m^3/s
CH3OH + O <=> CH2OH + OH,1.785057350368151e-14 mol/m^3/s
CH3OH + O <=> CH3O + OH,3.5829942192731265e-15 mol/m^3/s
C2H + O <=> CH + CO,-2.7442343561664024e-41 mol/m^3/s
C2H2 + O <=> H + HCCO,-1.8756231299803057e-21 mol/m^3/s
C2H2 + O <=> C2H + OH,0.0 mol/m^3/s
C2H2 + O <=> CH2 + CO,-1.4885581969167395e-36 mol/m^3/s
C2H3 + O <=> CH2CO + H,9.723442918310401e-24 mol/m^3/s
C2H4 + O <=> CH3 + HCO,-4.980073486968163e-39 mol/m^3/s
C2H5 + O <=> CH2O + CH3,-3.99739335436337e-40 mol/m^3/s
C2H6 + O <=> C2H5 + OH,0.0 mol/m^3/s
HCCO + O <=> 2 CO + H,5.778653816186038e-17 mol/m^3/s
CH2CO + O <=> HCCO + OH,1.1253282315591426e-16 mol/m^3/s
CH2CO + O <=> CH2 + CO2,1.0666611794599759e-16 mol/m^3/s
CO + O2 <=> CO2 + O,1.9776363529450627e-14 mol/m^3/s
CH2O + O2 <=> HCO + HO2,2.940726601469021e-14 mol/m^3/s
H + O2 + M <=> HO2 + M,-0.14288746269247588 mol/m^3/s
H + O2 + O2 <=> HO2 + O2,-14.006550926879413 mol/m^3/s
H + O2 + H2O <=> HO2 + H2O,-193.79511930025473 mol/m^3/s
H + O2 + N2 <=> HO2 + N2,-1.669035115974003e-28 mol/m^3/s
H + O2 + AR <=> HO2 + AR,-151.58186515996164 mol/m^3/s
H + O2 <=> O + OH,75.07947681062888 mol/m^3/s
2 H + M <=> H2 + M,-0.00042061120253077925 mol/m^3/s
2 H + H2 <=> H2 + H2,-4.730821520523377e-09 mol/m^3/s
2 H + H2O <=> H2 + H2O,-0.00030800476878219574 mol/m^3/s
2 H + CO2 <=> H2 + CO2,-1.3901601328662366e-19 mol/m^3/s
H + OH + M <=> H2O + M,-1.0866479228685555 mol/m^3/s
H + HO2 <=> H2O + O,0.00840371655807734 mol/m^3/s
H + HO2 <=> H2 + O2,-0.4899357036510163 mol/m^3/s
H + HO2 <=> 2 OH,0.18354884984680964 mol/m^3/s
H + H2O2 <=> H2 + HO2,-0.020903249191993496 mol/m^3/s
H + H2O2 <=> H2O + OH,0.0010224485283954598 mol/m^3/s
CH + H <=> C + H2,2.332462391565321e-20 mol/m^3/s
CH2 + H (+M) <=> CH3 (+M),-6.246452787920712e-17 mol/m^3/s
CH2(S) + H <=> CH + H2,4.039665846182584e-19 mol/m^3/s
CH3 + H (+M) <=> CH4 (+M),-3.989501748070758e-18 mol/m^3/s
CH4 + H <=> CH3 + H2,-2.7003217011887465e-18 mol/m^3/s
H + HCO (+M) <=> CH2O (+M),-3.9536501834546166e-15 mol/m^3/s
H + HCO <=> CO + H2,5.327960020129676e-18 mol/m^3/s
CH2O + H (+M) <=> CH2OH (+M),-2.932233046909073e-14 mol/m^3/s
CH2O + H (+M) <=> CH3O (+M),-2.347238631829411e-13 mol/m^3/s
CH2O + H <=> H2 + HCO,1.063966817206298e-15 mol/m^3/s
CH2OH + H (+M) <=> CH3OH (+M),-3.845014294585866e-16 mol/m^3/s
CH2OH + H <=> CH2O + H2,6.057051576920416e-19 mol/m^3/s
CH2OH + H <=> CH3 + OH,-6.54168694121769e-14 mol/m^3/s
CH2OH + H <=> CH2(S) + H2O,-5.244264109348232e-15 mol/m^3/s
CH3O + H (+M) <=> CH3OH (+M),-4.5131620349718364e-18 mol/m^3/s
CH3O + H <=> CH2OH + H,2.0892588151849727e-19 mol/m^3/s
CH3O + H <=> CH2O + H2,6.880847343771434e-19 mol/m^3/s
CH3O + H <=> CH3 + OH,-2.4145081184893884e-15 mol/m^3/s
CH3O + H <=> CH2(S) + H2O,-1.6974723081128238e-16 mol/m^3/s
CH3OH + H <=> CH2OH + H2,4.046430953830764e-16 mol/m^3/s
CH3OH + H <=> CH3O + H2,9.65559460355797e-17 mol/m^3/s
C2H + H (+M) <=> C2H2 (+M),0.0 mol/m^3/s
C2H2 + H (+M) <=> C2H3 (+M),-1.5890133952878736e-21 mol/m^3/s
C2H3 + H (+M) <=> C2H4 (+M),8.14102137136858e-26 mol/m^3/s
C2H3 + H <=> C2H2 + H2,1.6835144428508187e-25 mol/m^3/s
C2H4 + H (+M) <=> C2H5 (+M),0.0 mol/m^3/s
C2H4 + H <=> C2H3 + H2,-1.6920845277356938e-25 mol/m^3/s
C2H5 + H (+M) <=> C2H6 (+M),0.0 mol/m^3/s
C2H5 + H <=> C2H4 + H2,0.0 mol/m^3/s
C2H6 + H <=> C2H5 + H2,0.0 mol/m^3/s
H + HCCO <=> CH2(S) + CO,9.76014781993034e-19 mol/m^3/s
CH2CO + H <=> H2 + HCCO,9.501410569353239e-18 mol/m^3/s
CH2CO + H <=> CH3 + CO,6.8964860471761e-18 mol/m^3/s
H + HCCOH <=> CH2CO + H,-6.2027849101546636e-21 mol/m^3/s
CO + H2 (+M) <=> CH2O (+M),-1.6589849971857445e-15 mol/m^3/s
H2 + OH <=> H + H2O,188.10954849959316 mol/m^3/s
2 OH (+M) <=> H2O2 (+M),-456.26964106462253 mol/m^3/s
2 OH <=> H2O + O,-33.29053451921027 mol/m^3/s
HO2 + OH <=> H2O + O2,20.838036732023113 mol/m^3/s
H2O2 + OH <=> H2O + HO2,-0.03294682726812104 mol/m^3/s
H2O2 + OH <=> H2O + HO2,-19.06254560614684 mol/m^3/s
C + OH <=> CO + H,9.025435121818368e-23 mol/m^3/s
CH + OH <=> H + HCO,5.780742581177021e-18 mol/m^3/s
CH2 + OH <=> CH2O + H,3.259948697586894e-15 mol/m^3/s
CH2 + OH <=> CH + H2O,3.4436022714044996e-15 mol/m^3/s
CH2(S) + OH <=> CH2O + H,5.520213081161665e-16 mol/m^3/s
CH3 + OH (+M) <=> CH3OH (+M),3.0014866551529565e-13 mol/m^3/s
CH3 + OH <=> CH2 + H2O,9.072540476971368e-14 mol/m^3/s
CH3 + OH <=> CH2(S) + H2O,5.154931715441134e-13 mol/m^3/s
CH4 + OH <=> CH3 + H2O,3.755967447984309e-18 mol/m^3/s
CO + OH <=> CO2 + H,2.6482465560420832e-12 mol/m^3/s
HCO + OH <=> CO + H2O,4.9485017190206745e-15 mol/m^3/s
CH2O + OH <=> H2O + HCO,8.120278467767759e-13 mol/m^3/s
CH2OH + OH <=> CH2O + H2O,2.0641213383225916e-16 mol/m^3/s
CH3O + OH <=> CH2O + H2O,2.3448389991175674e-16 mol/m^3/s
CH3OH + OH <=> CH2OH + H2O,9.191010961420417e-14 mol/m^3/s
CH3OH + OH <=> CH3O + H2O,2.1564674902561594e-13 mol/m^3/s
C2H + OH <=> H + HCCO,-2.86572712871546e-23 mol/m^3/s
C2H2 + OH <=> CH2CO + H,-1.6079865801286e-20 mol/m^3/s
C2H2 + OH <=> H + HCCOH,-9.42415493148595e-22 mol/m^3/s
C2H2 + OH <=> C2H + H2O,0.0 mol/m^3/s
C2H2 + OH <=> CH3 + CO,-4.238017367204501e-37 mol/m^3/s
C2H3 + OH <=> C2H2 + H2O,3.824693692531286e-23 mol/m^3/s
C2H4 + OH <=> C2H3 + H2O,-1.2773565462113178e-22 mol/m^3/s
C2H6 + OH <=> C2H5 + H2O,0.0 mol/m^3/s
CH2CO + OH <=> H2O + HCCO,8.793004920059127e-15 mol/m^3/s
2 HO2 <=> H2O2 + O2,0.0033906388722322774 mol/m^3/s
2 HO2 <=> H2O2 + O2,0.35497692257518976 mol/m^3/s
CH2 + HO2 <=> CH2O + OH,3.908311164623012e-17 mol/m^3/s
CH3 + HO2 <=> CH4 + O2,3.221260798966953e-19 mol/m^3/s
CH3 + HO2 <=> CH3O + OH,1.5954977052718218e-14 mol/m^3/s
CO + HO2 <=> CO2 + OH,2.4902085920010697e-14 mol/m^3/s
CH2O + HO2 <=> H2O2 + HCO,3.5315884340824037e-16 mol/m^3/s
C + O2 <=> CO + O,2.323445894472149e-20 mol/m^3/s
C + CH2 <=> C2H + H,1.0810463887609164e-43 mol/m^3/s
C + CH3 <=> C2H2 + H,2.3373038941562265e-41 mol/m^3/s
CH + O2 <=> HCO + O,3.316900212058808e-15 mol/m^3/s
CH + H2 <=> CH2 + H,-2.043182966417398e-17 mol/m^3/s
