Reaction,Rate of Progress (ropi)
2 O + M <=> O2 + M,1.1119972305938179e-07 mol/m^3/s
H + O + M <=> OH + M,1.1373397842936659e-07 mol/m^3/s
H2 + O <=> H + OH,1.0405092768909445 mol/m^3/s
HO2 + O <=> O2 + OH,0.11576992063285202 mol/m^3/s
H2O2 + O <=> HO2 + OH,0.03794934518780564 mol/m^3/s
CH + O <=> CO + H,1.4782765439284291e-30 mol/m^3/s
CH2 + O <=> H + HCO,1.4889251388299823e-22 mol/m^3/s
CH2(S) + O <=> CO + H2,2.0332564042820066e-24 mol/m^3/s
CH2(S) + O <=> H + HCO,2.0332564042820066e-24 mol/m^3/s
CH3 + O <=> CH2O + H,2.2059684768212528e-16 mol/m^3/s
CH4 + O <=> CH3 + OH,6.553841674545601e-15 mol/m^3/s
CO + O (+M) <=> CO2 (+M),9.400282354943325e-16 mol/m^3/s
HCO + O <=> CO + OH,3.6682714008173374e-20 mol/m^3/s
HCO + O <=> CO2 + H,3.668271403522866e-20 mol/m^3/s
CH2O + O <=> HCO + OH,2.171214568554157e-14 mol/m^3/s
CH2OH + O <=> CH2O + OH,5.3863689210820825e-22 mol/m^3/s
CH3O + O <=> CH2O + OH,2.462831975826197e-19 mol/m^3/s
CH3OH + O <=> CH2OH + OH,1.7220031347465167e-15 mol/m^3/s
CH3OH + O <=> CH3O + OH,2.216471558917643e-16 mol/m^3/s
C2H + O <=> CH + CO,-2.231499104711228e-54 mol/m^3/s
C2H2 + O <=> H + HCCO,3.83754933528842e-20 mol/m^3/s
C2H2 + O <=> C2H + OH,9.436765627350162e-24 mol/m^3/s
C2H2 + O <=> CH2 + CO,1.9727846445629906e-20 mol/m^3/s
C2H3 + O <=> CH2CO + H,-2.386990547018416e-34 mol/m^3/s
C2H4 + O <=> CH3 + HCO,-4.318897873936164e-40 mol/m^3/s
C2H5 + O <=> CH2O + CH3,-2.6363314961636274e-42 mol/m^3/s
C2H6 + O <=> C2H5 + OH,0.0 mol/m^3/s
HCCO + O <=> 2 CO + H,4.898364779077598e-22 mol/m^3/s
CH2CO + O <=> HCCO + OH,3.517244204391905e-18 mol/m^3/s
CH2CO + O <=> CH2 + CO2,1.7481090632823038e-17 mol/m^3/s
CO + O2 <=> CO2 + O,2.160266893953639e-15 mol/m^3/s
CH2O + O2 <=> HCO + HO2,8.108855024401902e-14 mol/m^3/s
H + O2 + M <=> HO2 + M,1.3078780674619797 mol/m^3/s
H + O2 + O2 <=> HO2 + O2,9.89842769603941 mol/m^3/s
H + O2 + H2O <=> HO2 + H2O,84.45739213759593 mol/m^3/s
H + O2 + N2 <=> HO2 + N2,0.0 mol/m^3/s
H + O2 + AR <=> HO2 + AR,76.11699997622237 mol/m^3/s
H + O2 <=> O + OH,1.30392531361851 mol/m^3/s
2 H + M <=> H2 + M,5.581011652777822e-08 mol/m^3/s
2 H + H2 <=> H2 + H2,7.121192018580681e-10 mol/m^3/s
2 H + H2O <=> H2 + H2O,4.3186998291686285e-08 mol/m^3/s
2 H + CO2 <=> H2 + CO2,3.9913075751040615e-23 mol/m^3/s
H + OH + M <=> H2O + M,7.796757881362917e-05 mol/m^3/s
H + HO2 <=> H2O + O,0.0062712556027335106 mol/m^3/s
H + HO2 <=> H2 + O2,0.01711686118253135 mol/m^3/s
H + HO2 <=> 2 OH,0.1351172905343249 mol/m^3/s
H + H2O2 <=> H2 + HO2,-3.5487503079754092 mol/m^3/s
H + H2O2 <=> H2O + OH,0.01844301943130794 mol/m^3/s
CH + H <=> C + H2,1.6368416403309927e-30 mol/m^3/s
CH2 + H (+M) <=> CH3 (+M),7.190594047831462e-23 mol/m^3/s
CH2(S) + H <=> CH + H2,1.5507457445774775e-24 mol/m^3/s
CH3 + H (+M) <=> CH4 (+M),3.2039219251119336e-16 mol/m^3/s
CH4 + H <=> CH3 + H2,-4.954491311024849e-13 mol/m^3/s
H + HCO (+M) <=> CH2O (+M),-1.6873299002188967e-19 mol/m^3/s
H + HCO <=> CO + H2,3.4310111277961275e-20 mol/m^3/s
CH2O + H (+M) <=> CH2OH (+M),1.2357842596191908e-15 mol/m^3/s
CH2O + H (+M) <=> CH3O (+M),-1.277803073780892e-12 mol/m^3/s
