Substance,Net Production Rate (wi)
H2,-194.73236646220894 mol/m^3/s
H,480.07723723791963 mol/m^3/s
O,34.76281129390414 mol/m^3/s
O2,387.13751698578744 mol/m^3/s
OH,792.1399990417954 mol/m^3/s
H2O,236.41739760027733 mol/m^3/s
HO2,-482.00794335171 mol/m^3/s
H2O2,-436.7896776020679 mol/m^3/s
C,-8.938028350229376e-26 mol/m^3/s
CH,3.457597473612822e-19 mol/m^3/s
CH2,1.7807682203830565e-17 mol/m^3/s
CH2(S),1.150317874244739e-16 mol/m^3/s
CH3,5.191281651126491e-16 mol/m^3/s
CH4,-5.584162444996436e-18 mol/m^3/s
CO,-1.3260371122429292e-15 mol/m^3/s
CO2,2.8614642570541387e-12 mol/m^3/s
HCO,-1.2041705499194122e-16 mol/m^3/s
CH2O,2.0388701574515593e-16 mol/m^3/s
CH2OH,-6.01200276238609e-17 mol/m^3/s
CH3O,-1.499088052470887e-16 mol/m^3/s
CH3OH,-7.280075447348503e-16 mol/m^3/s
C2H,2.86572712871546e-23 mol/m^3/s
C2H2,2.1121715201733893e-20 mol/m^3/s
C2H3,4.761933647609906e-19 mol/m^3/s
C2H4,5.835187156430409e-22 mol/m^3/s
C2H5,1.5107414914850562e-21 mol/m^3/s
C2H6,3.560799143108869e-32 mol/m^3/s
HCCO,4.0041650037603574e-19 mol/m^3/s
CH2CO,2.0833206590184876e-17 mol/m^3/s
HCCOH,5.260369417006068e-21 mol/m^3/s
N,1.1146341075482095e-27 mol/m^3/s
NH,2.346889815250927e-27 mol/m^3/s
NH2,5.916557680942482e-27 mol/m^3/s
NH3,0.0 mol/m^3/s
NNH,-5.129424700229639e-27 mol/m^3/s
NO,6.507096160372978e-27 mol/m^3/s
NO2,0.0 mol/m^3/s
N2O,2.5328635815420146e-28 mol/m^3/s
HNO,7.278472768217177e-31 mol/m^3/s
CN,-2.9465792628204842e-27 mol/m^3/s
HCN,-1.9727134294237563e-27 mol/m^3/s
H2CN,-9.516550004473092e-28 mol/m^3/s
HCNN,-2.2705748161773142e-27 mol/m^3/s
HCNO,-3.291485518810134e-27 mol/m^3/s
HOCN,-2.692544376711696e-27 mol/m^3/s
HNCO,-1.3632403408036739e-27 mol/m^3/s
NCO,-2.6479779127097215e-27 mol/m^3/s
N2,7.136858273420429e-27 mol/m^3/s
AR,0.0 mol/m^3/s
C3H7,1.0899960412547132e-27 mol/m^3/s
C3H8,-1.588638966004171e-27 mol/m^3/s
CH2CHO,-3.3265173223874226e-17 mol/m^3/s
CH3CHO,-1.4299536645267224e-12 mol/m^3/s
